Name,Gender
Xavier+Garcia i Tormo,male
James+Corones,male
Alexander+Schwarz,male
Guangqiang+Jia,male
Hideko+Nagahiro,female
Stephan+Schönecker,male
Christian+Jost,male
Roberto P. J.+Perazzo,male
Hiroto+Nakajima,male
Gregoire+Brebner,male
Binit+Lukose,male
Panagiota+Angeli,female
Jonas+Vlietinck,male
Warner+Fite,male
Kenichi+Imaeda,male
Gennadiy+Burlak,male
Catherine Nary+Man,female
Tristan+Farrow,male
Fabian+Brau,male
Markus+Bär,male
Kenneth+Emerson,male
Razvan+Caracas,male
Peter+Ashburn,male
Mitsuhiro+Toriumi,male
Alain+Gonfalone,male
Marin+Soljačic,male
Oswaldo+Zapata,male
Gudrun+Hagemann,female
Alexander S.+Gorsky,male
Jan+Götzen,male
Kaare+Olaussen,male
Mustapha+Ishak,male
Alain+Goriely,male
Christopher D.+Hamley,male
Jeff+Houze,male
Alessandro+Micco,male
William K.+Wootters,male
Ferenc+Mezei,male
Huiqiu+Yuan,male
Frank+Eisert,male
Yanfei+Zhang,female
Yoske+Sumitomo,male
Estela A.+Gonzalez,female
Elina+Keihänen,female
Besim+Tanyel,male
Samuel H.+Blitz,male
Gianpaolo+Vicario,male
Nigel J.+Shevchik,male
Kenneth M.+Watson,male
Lev N.+Bulaevskii,male
Glauber T.+Marques,male
Alok+Gambhir,male
Mihail+Mirea,male
Alexandre+Yale,male
Tomoya+Higo,male
Gerhard+Hobler,male
Evgueni+Nikitin,male
James W.+Landry,male
Horacio Tertuliano S.+Filho,male
Aurelio+Patelli,male
Michael J.+Sayers,male
Jeremy+Kavka,male
Adrian+Nicholl,male
James D.+Boyer,male
Hiroki K.+Sato,male
Eckhard+Platen,male
Laurent G.+Caron,male
Christiane+Alba-Simionesco,female
Jaume+Gomis,male
Katarzyna+Zwierzchowska,female
Neal+Turner,male
Jonghoon+Ahn,male
Péter+Ván,male
Assunta+Bonanno,female
Hiroshi+Akera,male
Atsushi+Takashima,male
Harry+Fried,male
Sebastian+Oddone,male
Ton G.+van Leeuwen,male
Ivan+Biaggio,male
Vivek+Mishra,male
Miomir B.+Djordjević,male
Mukesh+Dhamala,male
Rosemary A.+MacDonald,female
Namil+Kim,male
Christiana+Athanasiou,female
Keiji+Fukui,male
Maitreyee+Nandy,female
Bogdan+Florea,male
Freek J. M.+Hoeben,male
Bruno+Mettout,male
Peter+Anders,male
Miladin+Radovic,male
James M.+Takacs,male
Lucy D.+Whalley,female
Gregory+Coard,male
CHARLES R.+WHITSETT,male
Isa+Brandão,female
Wayne Y.+Fung,male
Miroslav+Grmela,male
Peter K.+Galenko,male
Bruno W.+Augenstein,male
Julia+Herrero-Albillos,female
Michihiro+Horimoto,male
Antonio Enea+Romano,male
Ehsan+Irani,male
Juliusz Zbyszko+Zielinski,male
Bram+De Geyter,male
Antoine+Naert,male
Yoshimasa+Egi,male
Drew+Bertwistle,male
Félix+Werner,male
Masahiko+Inui,male
Denis+Johann,male
Jakob+Liss,male
Vijay+Rawat,male
Sindhu+Kalyadan,female
Subir K.+Das,male
Engelbert+Suchla,male
William E.+Fogle,male
Haiyang+Peng,male
Masaru+Nakahara,male
Denis D.+Sheka,male
Viqar+Husain,male
Kotaro+Satori,male
Jom Sool+Kim,male
Isao+Harada,male
Frank+Raischel,male
Ronen+Caspi,male
B. Douglas+Edmonds,male
Igor E.+Batov,male
Norman J. M.+Horing,male
Masami+Nakagawa,female
Sajid+Qamar,male
Naum S.+Ginzburg,male
Sebastian+Schramm,male
Kazuo+Aoki,male
Soumik+Bhattacharya,male
Félicie+Albert,female
Josephine M.+Bradley,female
Fumihiro+Matsui,male
Konstantin Y.+Guslienko,male
Tom+Chau,male
Sebastian+Kiepsch,male
Arthur B.+Chilton,male
Spyros+Lavdas,male
Joakim+Andersson,male
Harry+Buhrman,male
Raman+Sharma,male
Rodney T.+Hodgson,male
Christina+Trautmann,female
Rockhee+Sung,female
Marko+Ternick,male
Maxime+Clusel,male
Manuel A.+Matías,male
Urs+Heine,male
Anukul+Dhal,male
Haruhito+Kato,male
Fernando+González-Caballero,male
Amos+Lev,male
Fay+Hannon,female
Yuichi+Tomizawa,male
Bernard+Pannetier,male
Helge I.+Andersson,male
Yuttanant+Boonyongmaneerat,male
Philip W.+Adams,male
Jorge F.+Willemsen,male
Jacob+Wilbrink,male
Alvaro+Ferraz,male
Avi+Gozolchiani,male
Stéphane+Daniele,male
Naoki+Kawashima,male
Paweł+Krawczyk,male
Olle+Björneholm,male
J. Andrzej+Domaradzki,male
Kenichi+Konishi,male
Keshav+Shrestha,male
Hans J.+Weber,male
Antonio+Giorgilli,male
Hans-Josef+Schulze,male
Robynne+Lock,female
Yasumasa+Ueda,male
Talat S.+Rahman,male
Christian+Aponte-Rivera,male
Paulo Saraiva+De Toledo,male
Emilio+Torrente-Lujan,male
Debarshi+Gangopadhyay,male
Giuseppe+Zerbi,male
Lewis+Larrick,male
Adrien+Bussonnière,male
Joachim P.+Spatz,male
Toshinao+Suzuki,male
Hylke C.+Donker,male
Jorge L.+Nisperuza,male
James A.+Norcross,male
Graeme E.+Murch,male
Michael+Litos,male
Sylvia K.+Lewin,female
Martin+Hirsch,male
Jaime+Gómez-Rivas,male
Steven+Prutzer,male
Nobu+Kuzuu,male
Koji+Yoshida,male
Werner+Wegscheider,male
Atsushi+Yabushita,male
Alexandrina+Nenciu,female
H. Viet+Nguyen,male
MICHAEL C.+WEINBERG,male
Seiichi+Wakaizumi,male
Céline+Charbonneau,female
Christopher+Woodward,male
Desai+Zhang,male
Aleksandar+Matic,male
Sergei B.+Leble,male
Ivana+Bochicchio,female
Mikhail A.+Osipov,male
Marilyn J.+Stafne,female
Utpal+Chattopadhyay,male
Dwi+Prananto,male
Dennis+Ikenberry,male
Garam+Han,female
Mattias+Christensson,male
James W.+Bennett,male
Brenno Caetano Troca+Cabella,male
Zeinab+Moussa,female
Silverio P.+Almeida,male
Brice+Calkins,male
Maxim+Chernodub,male
Daisuke+Saito,male
Steven Trent+Manson,male
Dror+Kasimov,male
Mboyo+Esole,male
Mikhail+Panine,male
Lawrence W.+Davis,male
Vladimir S.+Gerdjikov,male
Brindaban+Modak,female
Jozef+Skakala,male
Nathan S.+Williams,male
Neil G.+Dickson,male
Corrado+de Lisio,male
Gintaras K.+Duda,male
Ranjan+Modak,male
Arkady+Tseytlin,male
Paolo+Grigolini,male
Sebastian+Trojanowski,male
Kaushik+Balakrishnan,male
Uwe+Rossow,male
Josef+Kubát,male
Myron A.+Jeppesén,male
Denis+Ferachou,male
Jose E.+Wesfreid,male
William A.+Barker,male
Vu+Thien Binh,female
Simone+Anders,male
Kouichi+Takase,male
Minoru+Soda,male
J. Patrick+Zobel,male
Amy E. Stevens+Miller,female
Philip+DeBoer,male
Harrison+Brown,male
Lydiane+Bécu,female
Hiroshi+Kohno,male
Jen-Chuen+Hsieh,female
Alexander+Borisov,male
Pat+Scott,male
Sergei+Nedelko,male
Thierry+Savin,male
Volker+Heuckeroth,male
Puneet Kumar+Patra,male
Achilleas P.+Porfyriadis,male
Roberto+Osório,male
Gaetano+Bertoldi,male
Travis E.+Jones,male
C. William+McCurdy,male
Yasuyuki+Maki,male
Sabine+Lay,female
Duane D.+Bruns,male
Norihiro+Matsuo,male
François+Triozon,male
Hiroki+Mitamura,male
Ismo+Koponen,male
Lev P.+Pitaevskii,male
James B. R.+Battat,male
Yuliya+Stark,female
Tobias+Donner,male
Franck+Michaud,male
Jiro+Kitagawa,male
Per+Johnsson,male
Kazumasa+Togano,male
Erik G.+Brandt,male
James J.+Boyle,male
Jongbeom+Hong,female
Emile+Hoskinson,male
Katsutoshi+Fukuda,male
Steve A.+Alexander,male
Kirill A.+Bronnikov,male
Wolfgang+Mück,male
Volker+Gräschus,male
Juergen+Eckert,male
Isam+Manai,male
Gionata+Luisoni,male
Hanoh+Lee,female
Marcus G.+Martin,male
Stefan+Link,male
Hiroki+Hashiguchi,male
Akio+Kimura,male
Jonathan+Noe,male
Mikhail V.+Sazhin,male
Paolo+Palmerini,male
Aakash+Pushp,male
Konstantinos+Zoubos,male
Makoto+Aratono,male
Renato Mariz+de Moraes,male
Norio+Fujimoto,male
Aditya K.+Dharmadhikari,male
Surendra K.+Jain,male
Louis+Harbour,male
Parongama+Sen,male
Jino+George,male
Sharmila N.+Shirodkar,female
Dwight R.+Dixon,male
Lars+Samuelson,male
Alexander+Kozhekin,male
Geeta+Ahuja,female
Luca+Zambelli,male
Jacob L.+Roberts,male
Martin+Krzywinski,male
Robin+Koytcheff,male
Lambodar P.+Singh,male
Matthew B.+Hastings,male
Marek+Góźdz,male
James W.+Cederberg,male
Alenka+Mertelj,female
Gianfranco+Chiarotti,male
Harmon+Aronson,male
Roland+Bastardis,male
Abhijit+Chakraborty,male
Yeonsei+Chung,male
Magnus+Jändel,male
Caroline+Rogers,female
Ralph+van Gelderen,male
Peter N.+Saeta,male
Marla+Geha,female
Kazuhiko+Horioka,male
Haim+Eshach,male
Sankar+Bhattacharja,male
Christelle+Dupas,female
Patrycja+Jaros,female
James P.+Buban,male
Valentin V.+Karasiev,male
Mirah+Gary,female
